ProteinID,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012
App,9.856,9.827,9.889,10.702,9.872,8.503,10.332,9.733,9.783,10.116,10.232,11.164
Apoe,10.657,10.111,9.262,8.985,10.246,11.311,10.042,9.894,10.532,8.546,9.688,10.49
Mapt,10.873,9.759,10.377,10.248,10.782,8.887,10.568,8.485,7.38,9.393,9.084,10.876
Snap25,10.664,8.781,10.847,8.998,9.914,9.706,10.114,10.819,10.638,10.35,10.65,10.478
Syn1,9.373,9.283,9.53,10.499,9.75,12.336,9.181,8.901,10.768,11.422,10.506,10.836
Gfap,11.426,9.906,8.577,9.468,10.953,8.556,10.034,10.253,9.684,10.724,10.581,12.321
Mbp,10.62,9.391,9.438,9.168,10.952,9.433,9.93,10.749,9.277,9.706,8.159,8.918
Aldh1l1,9.432,10.416,11.193,9.982,10.261,10.168,11.085,10.893,10.274,8.989,10.903,10.381
Iba1,11.227,9.97,11.953,9.641,11.593,10.115,9.484,8.872,9.849,11.423,10.816,10.689
Cx3cr1,7.624,10.711,10.556,9.45,9.373,9.998,11.725,8.945,9.572,11.362,9.554,9.636
Trem2,10.098,8.759,10.22,8.79,10.885,10.003,12.283,10.281,11.366,8.697,9.878,10.323
C1qa,11.746,8.319,10.991,10.591,11.534,10.712,10.052,9.478,8.752,10.195,9.808,12.02
Clu,9.389,10.32,8.431,9.605,10.261,10.824,11.448,9.956,8.883,10.458,10.517,10.492
Bin1,9.3,11.133,10.088,10.7,11.274,10.609,10.287,12.153,10.244,9.704,10.112,11.483
Picalm,10.119,10.519,11.196,9.487,8.273,10.299,10.23,9.392,10.871,10.608,9.005,10.518
Cd33,9.804,8.517,10.453,9.955,9.255,10.523,10.488,9.422,10.4,11.015,9.287,10.381
Abca7,10.003,12.266,8.138,10.695,9.694,9.9,11.902,9.991,12.241,9.558,10.351,9.509
Ptk2b,9.309,10.062,9.717,10.202,7.895,12.002,9.833,11.743,8.993,10.293,13.165,9.13
Sorl1,8.505,9.453,10.472,10.693,11.29,9.743,8.398,9.565,11.24,10.466,8.043,9.965
Plcg2,11.398,12.127,10.562,10.309,8.76,9.157,10.047,10.503,10.58,9.522,8.848,9.222
